question_id,concept_1,concept_2,concept_3
12-878,Metamorphosis,Biological Classification,Vital Signs of Life
11-287,Carnivores,Herbivores,Predation
13-886,Transparency,Geometric Faceting,Mineral Properties
11-497,Electrical Conductivity,Conductors,Insulators
9-173,Population Dynamics,Social Structure of Wolves,Biological Death
1014,Omnivory,Dietary Specialization,Animal Foraging Behavior
14-788,Mineral Definition,Rock Composition,Organic vs Inorganic Matter
12-352,Cellular Respiration,Biological Death,Vital Signs
14-350,Thermal Energy,Heat Transfer,Thermal Burns
8-24,Evaporation,Latent Heat,Atmospheric Humidity
7-729,Chemoreception,Organic Decomposition,Saprophagy
12-677,Biological Adaptation,Surface Area and Propulsion,Habitat Classification
12-428,Earth's Axial Tilt,Seasonal Cycles,Solar Radiation Distribution
13-383,Planetary Classification,Orbital Period,Solar System Architecture
9-97,Electric Circuit,Closed Circuit,Electrical Conductivity
14-619,Pollination Synergy,Floral Attractants,Plant Phenology
10-729,Pollination,Animal Pollinators,Biological Classification
8-8,Electrical Energy,Electric Motors,Power Sources
11-692,Circulatory System,Blood Vessels,Involuntary Physiological Processes
12-951,Plant Anatomy,Biological Anchoring,Root System Function
13-130,Reflection of Light,Electrical Circuits,Rectilinear Propagation of Light
12-1174,Biotic vs Abiotic Factors,Nutrient Acquisition,Trophic Levels
10-956,Mammalian Characteristics,Lactation,Parental Investment
8-267,Phase Change (Freezing),Thermal Expansion and Contraction,Mechanical Stress
12-465,Muscle Tissue,Organ Identification,Tissue Distribution in Organs
13-261,Carnivory,Marine Ecosystems,Trophic Levels
13-384,Electrical Conductivity,Electrical Insulators,Electrical Conductors
14-571,Camouflage,Predation,Adaptive Traits
12-923,States of Matter,Phase Transition (Melting),Thermal Energy
10-768,Stellar Nucleosynthesis and Energy,Orbital Mechanics,Causes of Seasons
1388,Curvature of Celestial Bodies,Horizon and Elevation,Atmospheric Scattering
10-683,Seasonal Cycles,Seed Production and Phenology,Food Caching
14-1509,Biotic and Abiotic Factors,Definition of an Organism,Unicellular Organisms
13-286,Thermoregulation,Biological Adaptation,Insulation
1873,Predation,Herbivory,Animal Adaptations
10-218,Fruit Anatomy,Seed Morphology,Biological Classification of Edible Parts
11-187,Seasonal Cycles,Phenology,Daylight Duration
10-368,Flora,Chlorophyll,Photosynthesis
7-24,Mechanical Waves,Vibration,Medium of Propagation
7-829,Energy Balance,Malnutrition,Trophic Interactions
11-30,Speed of Light,Speed of Sound,Biological Locomotion
11-486,Electrical Energy,Energy Conversion,Vocabulary: Illuminate
647,Greenhouse Effect,Atmospheric Composition,Cause and Effect in Climate Systems
7-749,Chemical Change,Physical Change,Acids and Bases
12-204,Precipitation,The Water Cycle,States of Matter
13-256,Force,Acceleration,Net Force
12-1166,Fossil Fuels,Organic vs. Inorganic Matter,Sedimentation and Geological Pressure
10-1153,Unicellular Organisms,Biological Solitude,Social Interaction in Biology
14-646,Fluid Dynamics,Air Resistance (Drag),Aerodynamics
7-1023,States of Matter,Melting Point,Thermal Energy
14-1100,Solubility,Solvent,States of Matter
9-48,Hemispheres,Seasonal Variation,Freezing Point of Water
11-628,Orbital Period,Solar System Dynamics,Temporal Scale Comparison
1580,Muscular Hypertrophy,Physical Activity,Progressive Overload
13-291,Habitat Loss,Limiting Factors,Animal Behavior and Survival
13-407,Chronological Context,Empirical Evidence vs. Superstition,Celestial Navigation
13-914,Surface Area to Volume Ratio,Leaf Morphology,Photosynthesis
9-344,Nervous System,Sensory Receptors,Nerve Impulses
9-945,Barometer,Air Pressure,Measurement vs. Manipulation
13-1054,Plant Water Requirements,Biome Characteristics,Water Availability and States
9-291,Biological Reproduction,Habitats,Extreme Environments
14-283,Market Equilibrium,Risk Mitigation,Reserve Price
