id,question_stem,choices,answerKey,subject_area,difficulty,reasoning
12-878,Which is likeliest to metamorphose?,"{'text': ['a live insect', 'a human', 'a plant', 'a dead butterfly'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,"The question asks for the basic recall of the concept of metamorphosis, which is a biological process primarily associated with insects."
11-287,Which animal is most likely to eat another living animal?,"{'text': ['deer', 'elephant', 'worm', 'lion'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,"The question asks for basic recall of animal diets (carnivore vs herbivore), which is a fundamental biological fact."
13-886,"If a see through thing is multifaceted, it is most likely","{'text': ['a ball', 'an apple', 'a silver globe', 'a quartz square'], 'label': ['A', 'B', 'C', 'D']}",D,earth_science,2,"The question asks to identify a multifaceted, see-through object, which relates to basic mineralogy (quartz), a sub-field of earth science."
11-497,Which two objects would electricity best flow through?,"{'text': ['a tin can and a plastic fork', 'a steel beam and a soda can', 'an eraser and a wooden pencil', 'human skin and rubber gloves'], 'label': ['A', 'B', 'C', 'D']}",B,physics,2,"The question asks to identify materials that conduct electricity, which is a basic concept in physics. It requires recalling the property of conductivity and applying it to common household objects."
9-173,When a wolf is buried what will happen to other wolves?,"{'text': ['small change', 'learn to fly', 'less of them', 'more of them'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,"The question asks about the population dynamics of wolves based on a simple event (death), which falls under biology. The difficulty is low as it is a basic recall or intuitive understanding of population decrease."
1014,An animal that may like a banana peel is a,"{'text': ['bear', 'raccoon', 'cat', 'dog'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,The question asks for basic recall of animal dietary habits or general knowledge about animals.
14-788,What is made of minerals?,"{'text': ['Stonehenge', 'car engines', 'alcohol', 'electricity'], 'label': ['A', 'B', 'C', 'D']}",A,earth_science,1,"The question asks for a basic identification of what minerals compose, which is a fundamental concept in earth science."
12-352,"If you find an animal that isnt breathing, it is safe to assume that thing","{'text': ['watched TV', 'cried', 'perished', 'laughed'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,The question tests basic knowledge of biological life signs (breathing) and the definition of death (perishing).
14-350,Which is true?,"{'text': ['hot coffee will stay hot forever', 'hot coffee is cold', 'hot coffee can injure due to its temperature', 'hot coffee prevents getting hot enough to burn'], 'label': ['A', 'B', 'C', 'D']}",C,physics,1,"The question asks for a basic observation about the temperature and effects of hot coffee, which relates to thermodynamics (physics) and is a simple recall of common knowledge."
8-24,"A hurricane is growing on the east coast, and it's coming off of the ocean, as they do. By the time the hurricane hits the east coast, it will have built up quite a bit, and this is because of","{'text': ['the salt from the ocean', 'the ocean being quite wet', 'seas have humidity from raised temperatures and fluid', 'the sea being cool and calm'], 'label': ['A', 'B', 'C', 'D']}",C,earth_science,2,"The question asks about the cause of hurricane growth, which is a fundamental concept in earth science (meteorology). It requires basic recall of how warm ocean waters and humidity fuel hurricanes."
7-729,The reason that flies can always find food is that they can smell,"{'text': ['organism decay', 'bad smells', 'dying animals', 'rotting trees'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,The question asks for a basic recall of the biological behavior and sensory capabilities of flies regarding food sources.
12-677,Webbed feet are used to move faster through what?,"{'text': ['rain', 'winds', 'clouds', 'swamps'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,The question asks for a basic recall of the biological adaptation of webbed feet for movement in aquatic or semi-aquatic environments like swamps.
12-428,If an island is experiencing a hot summer it is because,"{'text': ['of the water', 'of the axis', 'of the shade', 'of glaciers'], 'label': ['A', 'B', 'C', 'D']}",B,earth_science,1,"The question asks for the cause of a hot summer on an island, which relates to basic seasonal changes and Earth's tilt/axis, making it a basic recall question in earth science."
13-383,"If a thing is going to be a planet, it must orbit in a certain amount of time, which can exclude","{'text': ['mercury', 'the ninth planet', 'the third planet', 'venus'], 'label': ['A', 'B', 'C', 'D']}",B,astronomy,2,"The question pertains to planetary orbits and the definition of what constitutes a planet, which falls under astronomy. The difficulty is rated as 2 because it requires recalling the definition of orbital periods and applying it to specific planets."
9-97,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,"{'text': ['he completed a lap', 'he made a good deal', 'he invented new circuits', 'he completed a circuit'], 'label': ['A', 'B', 'C', 'D']}",D,physics,2,"The question tests the basic application of the concept of an electrical circuit, where plugging in a device completes the path for current to flow."
14-619,More butterflies will come as buttercups become more,"{'text': ['advertised', 'ripe', 'social media friendly', 'toxic'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks for a simple word completion related to the biological relationship between butterflies and flowers (buttercups), which is a basic recall of natural world associations."
10-729,An example of an animal pollinator is,"{'text': ['Dogs', 'Leaves', 'Cape elephant sengis', 'Water'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,"The question asks for a basic identification of an animal pollinator, which is a fundamental fact in biology."
8-8,I have to plug in a processor of food because it,"{'text': ['Is used for grinding metal', 'is an oil machine', 'is an electric Motor', 'is a battery operated machine'], 'label': ['A', 'B', 'C', 'D']}",C,physics,1,"The question asks about the basic power source of a kitchen appliance (food processor), which relates to the fundamental concept of electrical energy and circuitry (plugging it in) in basic physics/general science."
11-692,Blood gets directed around beneath skin and bone by,"{'text': ['a person', 'a vision', 'a thought process', 'long passages'], 'label': ['A', 'B', 'C', 'D']}",D,biology,1,"The question asks about the physiological movement of blood in the body, which falls under biology. It is a basic recall question regarding anatomical structures."
12-951,What anchors plants into the soil are called,"{'text': ['a form of webbing', 'Velcro with extra grip', 'the same as an american television miniseries about slavery', 'large anchors made of metal'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,"The question asks for the name of the plant part that anchors it in the soil, which is a basic fact of biology. The choices provided are humorous/distracting, but the process is basic recall."
13-130,"Robert has only has power downstairs. In order to move the light from downstairs to his upstairs bedroom, he can","{'text': ['Just stay in the downstairs rooms', 'set up an array of drinking glasses', 'set up an array of mirrors', 'Unscrew a light bulb downstairs and move it upstairs'], 'label': ['A', 'B', 'C', 'D']}",C,physics,2,The question tests the basic application of the concept of reflection of light using mirrors to redirect light from one location to another.
12-1174,Corn would likely provide nutrients to,"{'text': ['a rock', 'a ice', 'a waterfall', 'a raven'], 'label': ['A', 'B', 'C', 'D']}",D,biology,2,"The question asks about nutrient provision, which relates to biological organisms (corn and raven). It requires the basic knowledge that corn is food (nutrient source) and ravens are living organisms that consume nutrients, whereas rocks, ice, and waterfalls are non-living."
10-956,Dogs,"{'text': ['are born with teeth', 'leave their young to fend for themselves like turtle babies', 'provide direct sustenance to their newborn puppies', 'lay eggs to sit on'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,The question asks for a basic factual recall about the biological characteristics and reproductive habits of dogs.
8-267,Water in a sealed jar might do what when placed in the freezer?,"{'text': ['evaporate', 'break it', 'melt', 'run off'], 'label': ['A', 'B', 'C', 'D']}",B,physics,2,"The question asks about the physical property of water expanding when it freezes, which is a fundamental concept in physics/chemistry, and requires applying that fact to a real-world scenario (a sealed jar)."
12-465,The organ most made of muscle is the,"{'text': ['one pumping blood', 'brain', 'liver', 'kidney'], 'label': ['A', 'B', 'C', 'D']}",A,biology,1,"The question asks for the identification of an organ composed primarily of muscle (the heart), which is a basic recall of a biological fact."
13-261,A tuna would prefer to consume,"{'text': ['An Apple', 'beef', 'Nemo', 'dogs'], 'label': ['A', 'B', 'C', 'D']}",C,biology,1,"The question asks for the dietary preference of a tuna (a fish), which is a basic fact about animal diets."
13-384,Which acts as an insulator for electricity?,"{'text': ['A metal ring', 'A battery', 'A door hinge', 'Beeswax'], 'label': ['A', 'B', 'C', 'D']}",D,physics,1,"The question asks for the identification of an electrical insulator, which is a basic factual recall of material properties in physics."
14-571,"In the natural world, camouflage is used by animals to","{'text': ['stand out among their piers', 'avoid being a meal', 'look stylish for others', 'stay warm in the winter'], 'label': ['A', 'B', 'C', 'D']}",B,biology,1,"The question asks for the basic definition and purpose of camouflage in animals, which is a fundamental concept in biology and requires simple recall of a single fact."
12-923,"If a thing that was huge and hard is suddenly pooling at your feet,","{'text': ['it is brick', 'it was warmed', 'it is froze', 'it is oak'], 'label': ['A', 'B', 'C', 'D']}",B,physics,3,"The question describes a phase change (solid to liquid), which is a fundamental concept in physics/thermodynamics. It requires connecting the fact that something 'huge and hard' (solid) becoming 'pooling' (liquid) implies melting, which happens when a substance is warmed."
