group_letter,matchday,match_date
A, 2026-06-11, 2026-06-18, 2026-06-24
B, 2026-06-12, 2026-06-18, 2026-06-24
C, 2026-06-13, 2026-06-19, 2026-06-24
D, 2026-06-13, 2026-06-19, 2026-06-25
E, 2026-06-14, 2026-06-20, 2026-06-25
F, 2026-06-14, 2026-06-20, 2026-06-25
G, 2026-06-15, 2026-06-21, 2026-06-26
H, 2026-06-15, 2026-06-21, 2026-06-26
I, 2026-06-16, 2026-06-22, 2026-06-26
J, 2026-06-16, 2026-06-22, 2026-06-27
K, 2026-06-17, 2026-06-23, 2026-06-27
L, 2026-06-17, 2026-06-23, 2026-06-27
